HumanSays:,RobotSays:
HumanSays:,RobotSays:
IDKnull,Lényegretérő szavak használj. Pld rossza a nyomtató. Hibás a monitor. Vpn igény. Mappa hiba. Email hiba. Stb.
Nothing,Próbáld ujra!
Nothing,Mit is akartál kérdezni?
Nothing,Segítsek?
Nothing,Mond miben tudok neked segíteni?
IT, Informatikai kérdésed van? Tedd fel!
it, Milyen informatikai kérdésed van?
Ki vagy?,Na és te ki vagy?
Ki vagy?,BOT.I vagyok, miben segithetek neked? 
Ki vagy?,Egy pythonba megirt mesterseges inteligencia vagyok. 
hello, Üdvözöllek! Miben segíthetek?  
Hello,Szia BOT.I vagyok egy mesterséges intelligencia. Írd le milyen problémád van. Hardver - 0001H. Szoftver - 0002SV. Internet - 0003NET. Periféria - 0004PF. Beszerzés - 0005BESZ. Rendszergazda értesítés - 0006RG.
Hello,Hello. BOT.I vagyok egy mesterséges intelligencia. Írd le milyen problémád van. Hardver - 0001H. Szoftver - 0002SV. Internet - 0003NET. Periféria - 0004PF. Beszerzés - 0005BESZ. Rendszergazda értesítés - 0006RG.
Hello, Írd le milyen problémád van. Hardver - 0001H. Szoftver - 0002SV. Internet - 0003NET. Periféria - 0004PF. Beszerzés - 0005BESZ. Rendszergazda értesítés - 0006RG.
0001HV, Rendben van. Nézzük milyen problémád lehet. Milyen hibát észlelsz? Nem indul a gép - ER01. Elindul a gép de nincs kép - ER02.
ER01, Ha nem indul el a géped akkor sokféle probléma lehetséges. ER011 - Tápegység csere. ER012 - Alaplapi elemet kellene cserélni. ER013 - Kábelcsere. ER014 - kimozdult a kábel a helyéről.
ER02, Úgy látszik valami gond van a monitor és a géped kapcsolatával. Meg kellene nézd monitor kábel a helyén van-e.
0002SV, Melyik szoftverrel van problémád? Operációs Rendszer - 0002 OR. Novell - 0002N. GroupWise - 0002GW. Office - 0002MO. ESET - 0002ES. VPN - 0002VP. MedSol - 0002MS. MobilSync - 0002MSY.
0003NET, Nincs hálózat? Akkor ezen a telefonszámon tudod értesíteni a rendszergazdát - 0123456789.
0004PF, Milyen periféria hibád van? Nyomtató - 0004NY. Egér - 0004EG. Billentyűzet - 0004BIL. Monitor - 0004MON.
0005BESZ, Beszerzési kérdésekkel ide tudsz fordulni - beszerzes@semmelweis.hu
0006RG, Ha olyan hibád van ami rendszergazdai beavatkozást igényel akkor a következőképpen tudod jelezni. Írd le a feedback kódot (0000FB) neved/intézet/email címedet.
.hu, Köszönöm szépen. Máris intézkedek. További szép napot!
/0000FB, Köszi. Értesítem a rendszergazdát. Köszönöm a türelmedet. Szép napot!
Hány óra van?,getTIME
ido?,getTIME
óra?,getTIME
dátum?,getDATE
szia, Üdvözlet. Miben tudok neked segíteni?
szia, Na mi a helyzet? Esetleg válaszd ki miben sgíthetek neked. Itt vannak a hibakódok. Hardver - 0001H. Szoftver - 0002SV. Internet - 0003NET. Periféria - 0004PF. Beszerzés - 0005BESZ. Rendszergazda értesítés - 0006RG.
szia, Hello kell segitség? Esetleg válaszd ki miben sgíthetek neked. Itt vannak a hibakódok.  - 0001H. Szoftver - 0002SV. Internet - 0003NET. Periféria - 0004PF. Beszerzés - 0005BESZ. Rendszergazda értesítés - 0006RG.
szia, Minden rendben? Esetleg válaszd ki miben segíthetek neked. Itt vannak a hibakódok. Hardver - 0001H. Szoftver - 0002SV. Internet - 0003NET. Periféria - 0004PF. Beszerzés - 0005BESZ. Rendszergazda értesítés - 0006RG.
Szia, Szia tesó! Esetleg válaszd ki miben sgíthetek neked. Itt vannak a hibakódok. Hardver - 0001H. Szoftver - 0002SV. Internet - 0003NET. Periféria - 0004PF. Beszerzés - 0005BESZ. Rendszergazda értesítés - 0006RG.
És veled?, Minden rendben. Tudok neked segíteni bármiben?
Igen, Mondjad mi lenne a hibakód?
rendben van, Rendben há'!
ő,ő
minden rendben?, Igen. És nálad? 
Jól vagyok, Én is. Cseppet unatkozom.
